IP source,IP destination,Length,Flag,Numéro ACK,Numéro WIN,Numéro seq,ICMP Request/Reply
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1890826048:1890826168, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],31290,512,194243508:194243628, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,205737932:205738052, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,569721151:569721271, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],34126,512,855051032:855051152, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,499983177:499983297, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1074718027:1074718147, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],36962,512,1910064303:1910064423, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1037178976:1037179096, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,2107051510:2107051630, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],39798,512,338653346:338653466, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,396310051:396310171, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,196892786:196892906, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],42634,512,624912323:624912443, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],915,512,1418281182:1418281302, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],42711,512,1247502939:1247503059, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],961,512,97958320:97958440, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],42711,512,1359696980:1359697100, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],42711,512,349835797:349835917, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1421,512,367768365:367768485, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,455081173:455081293, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1262849347:1262849467, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,444010779:444010899, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],44529,512,727345824:727345944, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,32346209:32346329, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,760422680:760422800, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],47365,512,514200755:514200875, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,2058081561:2058081681, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,818181888:818182008, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],50201,512,928174225:928174345, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1336469386:1336469506, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1786409770:1786409890, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],53037,512,324755237:324755357, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1452211016:1452211136, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1443530962:1443531082, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],55873,512,1153766108:1153766228, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1082899630:1082899750, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,158165907:158166027, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],58709,512,289629244:289629364, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,366984968:366985088, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,349800942:349801062, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],61545,512,576730512:576730632, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1444083729:1444083849, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1001269731:1001269851, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],64381,512,2020684489:2020684609, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1625641890:1625642010, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1063644873:1063644993, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],67217,512,432651757:432651877, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1092359524:1092359644, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1245120321:1245120441, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1258702515:1258702635, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1588187279:1588187399, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],72889,512,1348940311:1348940431, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,984972391:984972511, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1223629343:1223629463, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],75725,512,2097257378:2097257498, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,71311878:71311998, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,2102444544:2102444664, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1658802345:1658802465, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],79979,512,1706050817:1706050937, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1024880538:1024880658, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],81397,512,951760893:951761013, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1125618004:1125618124, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1871207110:1871207230, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,345771930:345772050, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,140327075:140327195, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],87069,512,261155005:261155125, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1791155350:1791155470, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,593526721:593526841, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],89905,512,1252865659:1252865779, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1988673484:1988673604, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1003267489:1003267609, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1020861834:1020861954, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],94159,512,1338056601:1338056721, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,808637873:808637993, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1453290138:1453290258, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],96995,512,602687992:602688112, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1467959956:1467960076, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,186790490:186790610, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,2146506416:2146506536, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],101249,512,2293462:2293582, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1455305088:1455305208, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1651277629:1651277749, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1939151396:1939151516, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1156415132:1156415252, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,526698180:526698300, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],108339,512,2147257919:2147258039, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1794438931:1794439051, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1570685761:1570685881, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,987317105:987317225, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1750383782:1750383902, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,589799034:589799154, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],115429,512,604807401:604807521, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,773543240:773543360, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,819730013:819730133, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],118265,512,1089139650:1089139770, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1722099226:1722099346, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,832280098:832280218, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,210837616:210837736, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],122519,512,451298501:451298621, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,659044766:659044886, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,675266245:675266365, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,1503230429:1503230549, 
190-0-175-100.gba.solunet.com.ar,184.107.43.74,120,[S],1549,512,2016315503:2016315623, 
